,index,Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback,correct
319,331,1,1,2,2,0.632,0.605,1,1,0
320,332,1,1,1,4,0.353,0.347,1,1,1
321,333,1,2,1,2,0.65,0.379,1,1,0
322,334,1,1,1,2,1.397,0.214,1,1,1
323,335,1,2,2,2,0.528,0.297,1,1,1
324,336,1,2,2,3,0.339,0.55,1,1,1
325,337,1,1,1,2,0.578,0.241,1,1,1
326,338,1,2,1,3,0.489,0.629,1,1,0
327,339,1,2,1,2,0.793,0.336,1,1,0
328,340,1,1,2,2,0.723,0.273,1,1,0
329,341,1,2,2,4,0.75,1.237,1,1,1
330,342,1,2,2,3,0.945,0.374,1,1,1
331,343,1,2,1,2,0.357,0.539,1,1,0
332,344,1,2,2,3,0.76,0.351,1,1,1
333,345,1,2,2,3,0.617,0.307,1,1,1
334,346,1,2,1,4,0.306,0.293,1,1,0
335,347,1,1,1,3,0.497,1.211,1,1,1
336,348,1,1,1,4,0.285,0.311,1,1,1
337,349,1,1,1,4,0.233,0.272,1,1,1
338,350,1,2,1,3,0.616,1.143,2,1,0
339,351,1,2,2,2,1.698,1.24,2,1,1
340,352,1,1,1,3,0.694,0.984,2,1,1
341,353,1,1,1,4,0.498,0.752,2,1,1
342,355,1,2,2,2,1.362,0.674,2,1,1
343,356,1,2,2,2,0.755,0.815,2,1,1
344,357,1,1,1,4,0.326,0.748,2,1,1
345,358,1,1,2,2,1.789,0.745,2,1,0
346,359,1,1,1,3,0.424,0.967,2,1,1
347,360,1,2,1,2,1.172,0.41,2,1,0
348,361,1,2,1,3,0.734,0.824,2,1,0
349,362,1,2,1,3,1.019,1.803,2,1,0
350,363,1,1,1,3,0.657,1.014,2,1,1
351,364,1,2,2,3,0.66,1.163,2,1,1
352,366,1,1,1,4,0.476,0.706,2,1,1
353,367,1,1,1,2,0.913,0.597,2,1,1
354,369,1,2,2,2,1.56,1.834,2,1,1
