ID,drift_rate,bound,non_dec,tau,CI1,CI2,CI3,confidence_noise,LL,AIC,BIC
22.0,0.992515558651505,0.511141590316745,0.092911466317072,0.38356964463495846,-0.33069120159068655,1.6372806826980195,5.775708729475129,0.8807521782781945,3195.28514711641,6406.57029423282,6455.031847791344
23.0,1.1507830863430346,0.45118664813609083,0.08908499578470813,1.4048428313381451,1.8533309588651476,4.346318817815247,6.4929878589501,0.2189427550570412,1721.28777800351,3458.57555600702,3507.037109565545
24.0,1.6090294621335308,0.500739775847657,0.08090700086402189,0.002991854053966482,-2.6469101168186677,-0.6736106249913203,3.470360178124709,1.1973331662592797,2326.457808089426,4668.915616178852,4717.377169737377
25.0,0.8532583171916531,0.49745107829671703,0.08489432625822985,1.2241730553436916,-2.3415845081329763,0.18588602022219058,4.935720253247262,1.1092276884884813,3775.9588137651876,7567.917627530375,7616.3791810889
26.0,1.129019579113668,0.46134562021639125,0.07802435512202527,1.0999956525544423,1.5301374670747592,1.9982603163160624,1.1496033901934068,0.6847623997856833,2986.2408313265178,5988.4816626530355,6036.94321621156
27.0,1.375916511900307,0.5601530625901787,0.07076531538126127,1.11881064494365,1.3073248312555164,1.9952729169261694,1.4986235232003207,0.001,4019.7523540734137,8055.504708146827,8103.966261705352
28.0,1.5299341546334762,0.522384713773225,0.07151056516294471,0.37639256240490826,-1.5163128189434798,0.4683904464470816,3.158418230418688,0.41908593934180904,2821.1688345892317,5658.337669178463,5706.799222736988
29.0,0.6554284307037048,0.5185027512337154,0.08009747735971853,1.8760578992078887,-1.5099244732009591,1.1761452983352108,5.029788604712815,0.40793525552657306,3822.479931209204,7660.959862418408,7709.421415976933
30.0,1.2013063367907335,0.6747946532262507,0.15223174745657542,0.8378509246369488,0.722292116026461,2.6198972000831153,3.7537340746563217,0.5980820021348173,4228.412770014026,8472.825540028052,8521.287093586578
31.0,1.3671004696543518,0.4273378234518355,0.0872087217144388,1.1905827103208413,0.8656574427292747,1.8759780057697901,2.3352983595559964,0.011532601888713589,2722.8838780938377,5461.767756187675,5510.2293097462
32.0,1.9430215029917424,0.47207581990323194,0.07739934100854137,0.3384012677495599,0.4531635149230784,1.2742919186813633,1.9525100025043307,0.28914475036296927,2182.485109097966,4380.970218195932,4429.431771754456
33.0,1.5907772529232216,0.59863091476439,0.16687272249252877,2.0551817162418895,-4.0,-0.9504751541602134,7.049524845839787,0.12656166331942942,1704.25124481192,3424.50248962384,3472.964043182365
34.0,0.43441959796065643,0.419720305348255,0.08656967393366166,0.6601298048709555,-2.1532431048578426,-1.2235860600467285,4.9296570448111146,0.07445776001304155,114.98719973118536,245.9743994623707,294.4359530208954
